ID,TotalAmount,MostRecent,NumberOfPurchases,PurchaseInterval
16681,1631,12/9/2006,15,23
16682,1474,10/31/2006,15,62
16683,1047,10/19/2006,12,74
16684,1237,8/24/2006,14,130
16685,1105,7/27/2006,9,158
16686,1134,9/23/2006,10,100
16687,1299,6/21/2006,12,194
16688,462,3/11/2006,6,296
16689,931,9/24/2005,8,464
16690,451,8/30/2006,6,124
16691,979,5/13/2006,9,233
16692,1746,7/13/2006,13,172
16693,911,7/11/2006,11,174
16694,1308,10/17/2006,12,76
16695,689,1/31/2006,8,335
16696,855,3/9/2006,9,298
16697,512,11/22/2005,9,405
16698,1113,11/9/2006,15,53
16699,435,7/29/2006,7,156
16700,1138,9/5/2006,11,118
16701,535,6/21/2006,7,194
16702,1018,9/28/2006,15,95
16703,1423,6/22/2006,14,193
16704,449,7/5/2005,4,545
16705,1439,7/12/2006,16,173
16706,1309,3/21/2006,15,286
16707,995,7/12/2006,12,173
16708,686,6/11/2006,6,204
16709,1018,12/25/2006,10,7
16710,1274,11/17/2006,12,45
16711,1187,8/23/2006,14,131
16712,946,10/13/2005,10,445
16713,765,8/6/2006,9,148
16714,824,9/28/2006,7,95
16715,610,2/21/2006,7,314
16716,941,10/2/2006,12,91
16717,1120,9/29/2006,9,94
16718,886,8/3/2006,11,151
16719,1029,4/24/2006,11,252
16720,537,8/18/2006,8,136
16721,2052,12/14/2006,22,18
16722,1063,9/8/2006,12,115
16723,1672,10/13/2006,14,80
16724,1125,10/4/2006,12,89
16725,358,10/13/2006,4,80
16726,509,1/26/2006,5,340
16727,677,3/27/2006,8,280
16728,652,7/8/2006,8,177
16729,591,4/6/2006,5,270
16730,1290,7/18/2006,15,167
16731,999,9/3/2006,11,120
16732,211,8/7/2006,4,147
16733,795,10/29/2006,9,64
16734,807,5/2/2006,9,244
16735,1413,8/7/2006,10,147
16736,729,8/1/2005,9,518
16737,516,6/18/2005,7,562
16738,1324,9/19/2006,12,104
16739,624,10/3/2006,8,90
16740,1071,9/28/2006,11,95
16741,1207,12/1/2006,11,31
16742,243,4/3/2006,5,273
16743,1347,9/14/2006,12,109
16744,1007,10/29/2006,12,64
16745,984,10/7/2006,12,86
16746,1310,7/28/2006,11,157
16747,881,6/24/2006,10,191
16748,941,8/6/2006,10,148
16749,847,7/2/2006,9,183
16750,1126,8/6/2006,11,148
16751,832,10/23/2006,11,70
16752,905,9/22/2006,10,101
16753,1157,9/3/2006,8,120
16754,1733,12/6/2006,16,26
16755,741,9/16/2006,10,107
16756,515,5/26/2005,7,585
16757,1491,8/5/2006,14,149
16758,1004,8/13/2006,8,141
16759,935,10/3/2005,9,455
16760,1752,4/24/2006,15,252
16761,1312,9/26/2006,14,97
16762,1323,10/21/2006,13,72
16763,1306,11/8/2006,13,54
16764,1225,10/20/2005,13,438
16765,1193,9/7/2006,14,116
16766,1077,12/20/2005,15,377
16767,1161,7/8/2006,14,177
16768,1440,9/27/2006,15,96
16769,1380,8/27/2006,13,127
16770,598,9/15/2006,5,108
16771,949,5/6/2006,13,240
16772,874,8/16/2006,10,138
16773,481,8/22/2006,5,132
16774,553,10/23/2006,5,70
16775,596,7/23/2006,7,162
16776,909,12/6/2006,9,26
16777,402,9/8/2005,3,480
16778,611,6/25/2006,7,190
16779,1063,10/8/2006,12,85
16780,957,10/13/2006,12,80
16781,853,8/29/2006,8,125
16782,527,9/16/2006,9,107
16783,1129,8/13/2006,11,141
16784,648,8/29/2006,7,125
16785,1116,4/22/2006,10,254
16786,810,8/28/2006,6,126
16787,1396,11/25/2006,11,37
16788,841,7/20/2006,11,165
16789,1765,10/8/2006,17,85
16790,920,12/4/2006,14,28
16791,316,9/20/2006,5,103
16792,1209,11/18/2006,10,44
16793,668,10/28/2006,7,65
16794,333,3/8/2006,6,299
16795,802,5/30/2006,9,216
16796,924,7/4/2006,8,181
16797,1010,10/16/2006,10,77
16798,1062,10/8/2006,12,85
16799,945,9/30/2006,12,93
16800,582,5/2/2006,9,244
16801,850,4/16/2006,9,260
16802,902,8/18/2006,11,136
16803,1621,7/2/2006,17,183
16804,791,4/27/2006,10,249
16805,899,9/4/2006,11,119
16806,1163,9/25/2006,11,98
16807,602,10/26/2006,7,67
16808,1159,12/16/2006,12,16
16809,775,8/21/2006,9,133
16810,604,9/30/2005,6,458
16811,772,6/8/2006,10,207
16812,850,11/30/2006,8,32
16813,579,7/28/2006,6,157
16814,697,11/21/2006,10,41
16815,778,5/10/2006,8,236
16816,801,4/16/2006,9,260
16817,780,9/12/2006,12,111
16818,889,9/27/2006,12,96
16819,508,8/26/2006,9,128
16820,928,8/8/2006,10,146
16821,921,4/8/2006,8,268
16822,791,7/5/2006,10,180
16823,935,12/5/2006,11,27
16824,670,7/6/2006,8,179
16825,1425,8/23/2006,16,131
16826,656,10/20/2006,7,73
16827,822,10/16/2006,9,77
16828,740,8/19/2005,5,500
16829,744,5/20/2006,7,226
16830,560,11/14/2005,8,413
16831,645,10/5/2006,7,88
16832,836,12/8/2006,10,24
16833,747,8/15/2006,8,139
16834,1091,5/30/2006,12,216
16835,711,6/12/2006,6,203
16836,2096,8/7/2006,17,147
16837,679,8/31/2006,7,123
16838,917,7/24/2006,12,161
16839,1108,10/29/2006,10,64
16840,1604,12/26/2006,13,6
16841,1271,8/26/2006,10,128
16842,737,10/18/2006,8,75
16843,844,10/3/2006,8,90
16844,401,10/6/2006,6,87
16845,915,1/15/2006,13,351
16846,882,10/7/2006,11,86
16847,856,4/26/2006,8,250
16848,698,7/2/2006,10,183
16849,1409,7/28/2006,14,157
16850,1166,10/6/2005,11,452
16851,1400,9/1/2006,15,122
16852,179,6/9/2006,5,206
16853,951,10/4/2005,7,454
16854,989,8/31/2006,8,123
16855,979,11/30/2006,12,32
16856,557,5/19/2006,6,227
16857,677,10/13/2006,8,80
16858,1027,8/19/2006,10,135
16859,1615,6/15/2006,14,200
16860,810,7/30/2006,9,155
16861,713,9/1/2006,9,122
16862,742,3/31/2006,7,276
16863,1177,12/28/2006,13,4
16864,941,8/7/2006,8,147
16865,1563,9/7/2006,15,116
16866,533,9/16/2006,7,107
16867,878,8/28/2006,9,126
16868,644,6/22/2006,9,193
16869,880,12/14/2005,9,383
16870,718,9/25/2006,8,98
16871,842,10/29/2006,10,64
16872,644,8/23/2006,8,131
16873,1460,9/23/2006,12,100
16874,848,5/22/2006,9,224
16875,1596,7/21/2006,15,164
16876,461,8/23/2006,7,131
16877,932,5/31/2006,11,215
16878,1458,6/8/2006,14,207
16879,1729,8/21/2006,15,133
16880,723,8/16/2006,9,138
16881,956,8/29/2006,7,125
16882,1200,8/8/2006,14,146
16883,1171,6/5/2006,14,210
16884,1449,3/15/2006,12,292
16885,1014,11/11/2006,12,51
16886,725,9/21/2006,10,102
16887,1234,8/10/2006,14,144
16888,804,11/4/2006,9,58
16889,843,7/7/2006,8,178
16890,1456,6/20/2006,14,195
16891,1264,8/31/2006,9,123
16892,1511,8/17/2006,15,137
16893,724,10/27/2005,9,431
16894,670,10/28/2006,9,65
16895,1141,6/2/2006,14,213
16896,860,7/25/2006,7,160
16897,643,10/27/2006,7,66
16898,968,12/11/2006,12,21
16899,845,9/11/2005,8,477
16900,1144,6/27/2006,9,188
16901,596,8/1/2005,6,518
16902,573,7/11/2006,6,174
16903,695,10/10/2005,9,448
16904,1820,9/23/2006,14,100
16905,525,10/7/2006,5,86
16906,1131,6/20/2006,14,195
16907,1341,11/30/2005,12,397
16908,1015,7/30/2006,10,155
16909,932,11/26/2006,12,36
16910,982,5/28/2006,9,218
16911,222,10/5/2005,5,453
16912,1636,10/7/2006,14,86
16913,1358,5/30/2006,13,216
16914,462,12/1/2006,7,31
16915,695,4/7/2006,9,269
16916,1149,1/8/2006,9,358
16917,1503,10/10/2006,13,83
16918,859,6/24/2006,8,191
16919,1372,10/24/2006,11,69
16920,1283,7/11/2006,10,174
16921,1325,11/14/2006,11,48
16922,794,7/18/2006,9,167
16923,605,10/9/2006,5,84
16924,849,1/4/2006,5,362
16925,683,8/13/2006,7,141
16926,596,7/7/2006,9,178
16927,1006,5/19/2006,10,227
16928,1367,8/9/2006,13,145
16929,981,5/12/2006,9,234
16930,920,8/4/2006,9,150
16931,481,9/19/2006,8,104
16932,1424,9/11/2006,11,112
16933,1017,7/2/2006,8,183
16934,791,10/11/2005,11,447
16935,1305,12/23/2006,13,9
16936,674,10/19/2005,10,439
16937,1053,11/22/2006,11,40
16938,1246,8/3/2006,13,151
16939,1273,9/13/2006,12,110
16940,526,8/30/2005,9,489
16941,968,2/1/2006,10,334
16942,1510,4/10/2006,13,266
16943,951,9/30/2006,8,93
16944,682,11/2/2006,9,60
16945,754,6/4/2006,6,211
16946,674,6/24/2006,7,191
16947,672,12/11/2005,8,386
16948,633,8/8/2006,7,146
16949,730,8/22/2006,10,132
16950,705,9/24/2006,10,99
16951,521,8/13/2006,8,141
16952,1220,9/20/2006,12,103
16953,1296,9/22/2005,10,466
16954,1163,7/25/2006,11,160
16955,1404,10/20/2005,13,438
16956,925,8/14/2006,10,140
16957,1188,8/7/2006,14,147
16958,849,10/28/2006,11,65
16959,579,7/28/2006,7,157
16960,1069,8/12/2006,13,142
16961,508,10/12/2005,7,446
16962,1452,8/10/2006,12,144
16963,498,9/22/2006,5,101
16964,1140,9/15/2006,13,108
16965,1160,4/25/2006,11,251
16966,1096,7/29/2006,11,156
16967,750,10/9/2006,9,84
16968,1142,4/28/2006,9,248
16969,1046,6/8/2006,8,207
16970,606,6/14/2006,8,201
16971,549,8/19/2005,6,500
16972,901,11/21/2005,8,406
16973,1054,12/28/2006,9,4
16974,758,10/29/2006,9,64
16975,400,11/16/2006,6,46
16976,1013,10/2/2006,13,91
16977,371,7/16/2005,5,534
16978,1299,10/25/2006,10,68
16979,651,8/22/2006,8,132
16980,1321,5/29/2006,12,217
16981,799,12/27/2006,7,5
16982,499,9/29/2006,5,94
16983,1280,5/4/2006,13,242
16984,397,9/27/2006,7,96
16985,367,7/1/2005,5,549
16986,1020,7/13/2006,9,172
16987,1394,5/15/2006,15,231
16988,1437,9/9/2006,13,114
16989,566,10/14/2005,7,444
16990,528,5/9/2006,8,237
16991,1104,7/1/2006,11,184
16992,958,4/1/2006,12,275
16993,747,5/13/2006,8,233
16994,834,9/17/2006,9,106
16995,810,8/26/2006,8,128
16996,1443,10/4/2006,19,89
16997,1752,9/29/2006,14,94
16998,313,7/31/2005,5,519
16999,1328,4/26/2006,10,250
17000,1277,11/28/2005,14,399
17001,682,12/25/2006,9,7
17002,1177,8/29/2006,10,125
17003,1016,10/2/2006,10,91
17004,1414,6/30/2006,12,185
17005,1175,10/4/2005,8,454
17006,1528,7/22/2006,18,163
17007,678,4/21/2006,7,255
17008,882,8/29/2006,9,125
17009,1031,8/14/2006,9,140
17010,1294,10/8/2006,11,85
17011,1410,1/7/2006,12,359
17012,757,7/17/2006,10,168
17013,1165,8/1/2006,12,153
17014,605,11/8/2006,8,54
17015,833,9/4/2006,8,119
17016,1395,6/13/2006,12,202
17017,585,4/13/2005,7,628
17018,354,8/7/2006,8,147
17019,985,7/2/2006,11,183
17020,970,11/27/2006,10,35
17021,1271,8/30/2006,13,124
17022,373,8/24/2006,4,130
17023,1389,10/21/2006,15,72
17024,1170,5/17/2006,13,229
17025,973,7/10/2006,9,175
17026,1061,11/5/2006,13,57
17027,218,9/18/2005,4,470
17028,872,5/19/2006,9,227
17029,1041,8/9/2006,8,145
17030,607,5/19/2006,7,227
17031,984,10/30/2006,11,63
17032,601,7/11/2006,8,174
17033,355,4/7/2006,5,269
17034,887,7/20/2006,10,165
17035,1307,10/21/2006,10,72
17036,1346,2/25/2006,11,310
17037,1262,6/14/2006,11,201
17038,1119,10/13/2006,11,80
17039,494,12/8/2005,9,389
17040,1165,7/20/2006,10,165
17041,674,11/4/2006,6,58
17042,1477,8/6/2006,12,148
17043,1044,9/13/2006,11,110
17044,815,10/10/2006,9,83
17045,1394,10/3/2006,16,90
17046,483,10/13/2006,6,80
17047,1097,10/4/2006,11,89
17048,1123,9/22/2006,10,101
17049,1199,7/18/2006,11,167
17050,624,9/2/2006,6,121
17051,1306,11/24/2006,14,38
17052,748,11/15/2006,9,47
17053,674,8/11/2006,13,143
17054,1322,8/28/2005,12,491
17055,1604,6/18/2006,13,197
17056,978,6/30/2005,8,550
17057,1019,12/5/2005,12,392
17058,888,10/1/2006,8,92
17059,865,6/29/2006,13,186
17060,446,7/16/2006,9,169
17061,1074,8/27/2006,12,127
17062,644,10/20/2006,8,73
17063,477,11/27/2006,6,35
17064,707,6/4/2005,5,576
17065,1443,6/4/2006,14,211
17066,767,11/3/2006,8,59
17067,1047,10/23/2006,8,70
17068,1424,11/15/2006,11,47
17069,625,10/12/2006,9,81
17070,1283,12/10/2006,10,22
17071,936,11/22/2006,12,40
17072,1311,12/29/2006,12,3
17073,853,12/11/2006,10,21
17074,909,9/10/2006,9,113
17075,745,12/28/2005,9,369
17076,1054,10/4/2006,11,89
17077,851,8/5/2006,11,149
17078,677,9/18/2006,9,105
17079,1206,5/28/2006,10,218
17080,1121,7/27/2006,11,158
17081,977,6/29/2006,9,186
17082,1404,12/25/2005,12,372
17083,716,9/14/2006,7,109
17084,803,5/6/2006,9,240
17085,904,8/22/2006,9,132
17086,851,6/4/2006,12,211
17087,727,8/1/2006,9,153
17088,1319,10/5/2006,16,88
17089,1480,8/3/2006,14,151
17090,1084,12/1/2006,11,31
17091,554,9/1/2006,6,122
17092,1078,8/22/2006,10,132
17093,584,7/15/2006,6,170
17094,1349,5/23/2006,14,223
17095,1312,9/29/2006,13,94
17096,795,6/10/2006,8,205
17097,746,12/3/2006,10,29
17098,732,8/1/2006,9,153
17099,664,12/4/2006,8,28
17100,820,8/19/2006,10,135
17101,541,9/3/2006,7,120
17102,999,7/20/2006,12,165
17103,1366,9/1/2006,14,122
17104,594,3/10/2006,6,297
17105,904,6/22/2005,7,558
17106,851,11/11/2006,12,51
17107,1504,9/11/2006,15,112
17108,778,12/30/2006,10,2
17109,633,9/5/2006,7,118
17110,991,8/17/2006,12,137
17111,1385,4/16/2006,11,260
17112,434,12/6/2006,4,26
17113,444,3/19/2006,6,288
17114,434,12/11/2006,7,21
17115,767,7/8/2006,10,177
17116,494,9/24/2006,6,99
17117,594,6/27/2006,6,188
17118,1068,11/18/2006,10,44
17119,704,8/18/2006,8,136
17120,1059,7/1/2006,10,184
17121,623,6/5/2006,8,210
17122,606,11/1/2006,9,61
17123,852,12/31/2005,10,366
17124,1057,8/12/2006,11,142
17125,921,11/24/2006,9,38
17126,972,10/5/2006,9,88
17127,529,8/7/2006,7,147
17128,743,9/26/2006,8,97
17129,1344,10/26/2006,12,67
17130,943,10/19/2006,10,74
17131,497,11/13/2004,4,779
17132,904,4/13/2006,10,263
17133,1049,11/28/2006,8,34
17134,653,4/16/2006,8,260
17135,1576,8/18/2006,14,136
17136,761,8/15/2006,8,139
17137,1389,10/6/2005,13,452
17138,703,4/4/2006,8,272
17139,1083,9/5/2006,13,118
17140,1181,9/3/2006,15,120
17141,603,3/16/2006,8,291
17142,676,6/17/2006,8,198
17143,1183,9/6/2006,15,117
17144,885,7/4/2006,8,181
17145,998,8/16/2006,12,138
17146,701,12/9/2006,7,23
17147,1170,2/25/2006,10,310
17148,482,12/13/2005,6,384
17149,730,11/12/2006,9,50
17150,778,10/28/2005,7,430
17151,934,7/1/2006,10,184
17152,1138,10/1/2006,13,92
17153,846,7/14/2006,11,171
17154,1459,10/24/2006,14,69
17155,1720,12/21/2006,19,11
17156,723,10/14/2006,7,79
17157,662,6/26/2006,8,189
17158,511,3/5/2006,6,302
17159,1328,10/10/2006,11,83
17160,1029,4/22/2006,10,254
17161,464,1/4/2006,6,362
17162,595,8/28/2006,7,126
17163,908,6/26/2006,8,189
17164,591,7/28/2006,5,157
17165,674,8/27/2006,8,127
17166,794,6/29/2006,7,186
17167,1248,11/24/2006,11,38
17168,794,10/24/2005,7,434
17169,972,9/22/2006,11,101
17170,481,7/16/2006,7,169
17171,896,12/18/2005,9,379
17172,677,8/15/2006,8,139
17173,1362,12/28/2006,13,4
17174,1057,5/8/2006,9,238
17175,789,8/14/2006,10,140
17176,1367,8/18/2006,14,136
17177,1204,9/7/2006,11,116
17178,490,11/13/2006,6,49
17179,1408,9/2/2006,11,121
17180,1738,9/9/2006,18,114
17181,778,9/28/2006,6,95
17182,555,3/15/2006,8,292
17183,1347,7/3/2006,13,182
17184,842,6/23/2006,8,192
17185,444,12/18/2006,6,14
17186,1308,6/19/2006,13,196
17187,1095,12/14/2006,11,18
17188,1085,8/22/2006,10,132
17189,985,5/29/2006,8,217
17190,1287,5/17/2006,13,229
17191,1105,10/26/2006,9,67
17192,858,7/2/2006,6,183
17193,1196,12/21/2005,12,376
17194,1036,5/9/2006,11,237
17195,1339,8/18/2006,16,136
17196,853,5/25/2006,7,221
17197,1212,3/26/2006,13,281
17198,641,5/6/2006,10,240
17199,692,11/4/2005,9,423
17200,832,11/19/2006,10,43
17201,352,8/14/2006,5,140
17202,918,7/13/2006,12,172
17203,1099,11/14/2006,11,48
17204,897,2/11/2006,11,324
17205,1062,6/17/2006,12,198
17206,649,9/7/2005,7,481
17207,1071,8/12/2006,9,142
17208,1074,12/4/2006,8,28
17209,1139,8/27/2006,9,127
17210,705,10/15/2006,9,78
17211,448,8/18/2006,7,136
17212,706,5/27/2006,8,219
17213,723,8/21/2005,7,498
17214,1717,2/27/2006,12,308
17215,872,5/8/2006,9,238
17216,930,11/16/2005,10,411
17217,707,7/25/2006,7,160
17218,1220,11/20/2006,10,42
17219,838,8/29/2006,13,125
17220,885,6/18/2006,10,197
17221,1839,11/11/2006,17,51
17222,808,7/1/2006,9,184
17223,1331,10/3/2006,13,90
17224,936,11/4/2005,8,423
17225,187,3/11/2006,4,296
17226,1112,5/28/2006,11,218
17227,1054,11/29/2006,9,33
17228,1292,9/28/2006,10,95
17229,1640,12/14/2006,13,18
17230,1322,7/8/2006,12,177
17231,1232,5/31/2006,12,215
17232,1246,10/1/2006,12,92
17233,1264,10/20/2006,12,73
17234,1378,12/19/2005,14,378
17235,1277,7/24/2006,11,161
17236,410,10/17/2006,6,76
17237,488,6/29/2006,8,186
17238,1714,8/7/2006,13,147
17239,1400,7/8/2006,12,177
17240,555,8/22/2005,7,497
17241,535,10/2/2006,8,91
17242,1694,10/18/2006,14,75
17243,545,8/12/2006,6,142
17244,1186,10/15/2006,10,78
17245,782,7/19/2006,10,166
17246,1570,9/25/2006,13,98
17247,248,10/24/2006,3,69
17248,697,5/23/2006,7,223
17249,859,9/26/2006,10,97
17250,974,7/5/2006,11,180
17251,1039,6/7/2006,12,208
17252,872,10/19/2006,7,74
17253,713,9/25/2006,8,98
17254,1567,11/12/2006,16,50
17255,718,1/30/2006,12,336
17256,619,10/1/2006,6,92
17257,1416,7/18/2006,17,167
17258,1165,10/14/2006,13,79
17259,759,10/14/2006,8,79
17260,562,10/9/2006,8,84
17261,236,6/11/2006,3,204
17262,719,9/23/2006,9,100
17263,1576,3/3/2006,16,304
17264,620,10/11/2005,6,447
17265,691,7/7/2006,7,178
17266,939,10/24/2006,7,69
17267,841,8/25/2006,12,129
17268,1125,7/7/2006,10,178
17269,1310,7/1/2006,12,184
17270,305,10/27/2006,3,66
17271,1254,7/31/2006,12,154
17272,267,4/15/2006,4,261
17273,767,12/2/2006,8,30
17274,1070,3/2/2006,12,305
17275,957,8/6/2006,10,148
17276,1249,9/8/2005,13,480
17277,1187,7/18/2006,12,167
17278,1163,10/7/2006,13,86
17279,492,4/25/2006,6,251
17280,1032,9/5/2006,10,118
17281,1181,11/11/2005,14,416
17282,1935,10/5/2006,18,88
17283,1076,8/16/2006,9,138
17284,952,6/11/2006,8,204
17285,591,10/24/2006,7,69
17286,293,8/28/2006,5,126
17287,1185,4/21/2006,13,255
17288,675,7/20/2006,9,165
17289,1625,7/25/2006,13,160
17290,767,5/23/2006,7,223
17291,442,8/20/2006,4,134
17292,610,7/26/2006,6,159
17293,1413,5/21/2006,11,225
17294,1024,3/21/2006,7,286
17295,1309,11/15/2006,14,47
17296,755,8/25/2006,9,129
17297,898,9/3/2006,11,120
17298,775,11/8/2005,9,419
17299,700,9/17/2006,7,106
17300,697,7/1/2006,10,184
17301,605,10/7/2005,7,451
17302,649,7/5/2006,8,180
17303,1169,6/2/2006,9,213
17304,702,10/18/2006,9,75
17305,554,6/15/2006,6,200
17306,1149,11/18/2006,10,44
17307,597,1/20/2006,6,346
17308,1346,6/18/2006,15,197
17309,917,7/6/2006,9,179
17310,897,11/21/2006,9,41
17311,1460,5/26/2006,15,220
17312,734,12/11/2006,8,21
17313,1476,9/26/2006,14,97
17314,675,10/27/2006,6,66
17315,590,10/24/2006,9,69
17316,1147,10/28/2006,10,65
17317,1424,10/5/2006,14,88
17318,816,5/25/2006,8,221
17319,708,7/8/2006,8,177
17320,606,11/20/2005,7,407
17321,930,8/23/2006,9,131
17322,1963,9/11/2006,19,112
17323,1720,10/8/2006,17,85
17324,1203,7/17/2006,11,168
17325,743,6/14/2006,10,201
17326,1032,7/17/2006,13,168
17327,923,8/6/2006,9,148
17328,1327,6/25/2006,17,190
17329,452,6/21/2006,5,194
17330,402,3/7/2006,5,300
17331,542,9/25/2006,5,98
17332,1098,9/10/2006,11,113
17333,1239,8/3/2006,17,151
17334,1008,9/28/2006,9,95
17335,923,6/5/2006,8,210
17336,1209,6/8/2006,12,207
17337,624,6/18/2006,5,197
17338,709,4/21/2006,6,255
17339,1277,4/14/2006,11,262
17340,792,10/26/2006,9,67
17341,529,10/3/2006,7,90
17342,1117,7/3/2006,11,182
17343,422,9/4/2006,3,119
17344,1514,1/2/2006,17,364
17345,861,11/1/2005,8,426
17346,1227,10/30/2006,11,63
17347,1349,12/20/2006,12,12
17348,1000,9/12/2005,8,476
17349,795,7/24/2006,10,161
17350,547,7/25/2005,8,525
17351,857,10/3/2006,10,90
17352,894,12/19/2006,10,13
17353,896,10/11/2006,11,82
17354,1295,7/9/2006,12,176
17355,898,10/24/2006,10,69
17356,885,7/19/2006,11,166
17357,887,8/8/2006,13,146
17358,965,9/26/2006,10,97
17359,1168,9/6/2006,13,117
17360,590,3/18/2006,7,289
17361,577,8/3/2006,4,151
17362,1471,9/10/2006,17,113
17363,1013,9/26/2006,9,97
17364,982,5/4/2006,10,242
17365,593,7/10/2006,5,175
17366,1169,12/20/2006,12,12
17367,1030,10/21/2006,11,72
17368,963,6/19/2006,11,196
17369,1165,9/23/2006,18,100
17370,739,6/4/2006,6,211
17371,818,8/30/2006,9,124
17372,1376,8/21/2006,13,133
17373,1193,10/24/2005,9,434
17374,1087,11/3/2006,12,59
17375,787,8/11/2006,9,143
17376,1511,8/17/2006,12,137
17377,683,10/11/2006,7,82
17378,559,12/14/2005,8,383
17379,801,3/13/2006,7,294
17380,591,8/9/2006,6,145
17381,1511,11/17/2006,14,45
17382,578,11/9/2006,8,53
17383,564,4/28/2006,7,248
17384,1067,7/30/2006,11,155
17385,754,10/29/2006,7,64
17386,1099,3/12/2006,10,295
17387,916,5/29/2006,9,217
17388,1119,9/3/2006,12,120
17389,555,9/24/2006,9,99
17390,1101,5/29/2006,13,217
17391,1044,6/6/2006,12,209
17392,1410,11/13/2006,14,49
17393,748,8/31/2006,9,123
17394,1630,11/6/2006,15,56
17395,850,9/16/2006,9,107
17396,1089,8/9/2005,10,510
17397,1640,6/19/2006,16,196
17398,1153,5/31/2006,12,215
17399,510,9/11/2006,6,112
17400,955,6/21/2006,9,194
17401,1080,5/24/2006,11,222
17402,920,11/8/2006,9,54
17403,1238,7/18/2006,12,167
17404,1355,10/30/2006,12,63
17405,556,10/22/2006,7,71
17406,1183,12/12/2006,14,20
17407,1105,9/5/2006,14,118
17408,843,9/28/2006,10,95
17409,602,10/4/2006,6,89
17410,663,9/14/2006,6,109
17411,1218,4/30/2006,11,246
17412,469,12/23/2006,5,9
17413,544,10/6/2005,7,452
17414,1430,3/11/2006,12,296
17415,657,11/29/2006,8,33
17416,956,6/6/2006,10,209
17417,811,7/28/2006,9,157
17418,959,9/4/2006,10,119
17419,747,9/21/2006,9,102
17420,1140,11/26/2006,11,36
17421,848,4/28/2006,7,248
17422,753,7/25/2006,9,160
17423,1288,11/10/2006,13,52
17424,1011,10/14/2005,9,444
17425,298,10/14/2005,3,444
17426,470,7/12/2005,4,538
17427,918,7/31/2006,8,154
17428,525,6/7/2006,7,208
17429,812,4/21/2006,8,255
17430,967,6/24/2006,10,191
17431,451,5/4/2006,5,242
17432,789,9/1/2006,6,122
17433,815,10/23/2005,12,435
17434,955,10/8/2006,10,85
17435,674,7/24/2006,10,161
17436,1122,7/6/2006,14,179
17437,995,4/12/2006,8,264
17438,978,8/21/2006,13,133
17439,1793,9/30/2006,14,93
17440,1057,5/18/2006,7,228
17441,1101,4/2/2006,12,274
17442,1308,1/11/2006,13,355
17443,901,12/18/2005,10,379
17444,886,7/29/2006,11,156
17445,1082,11/22/2006,11,40
17446,1360,12/13/2006,13,19
17447,927,8/27/2006,7,127
17448,693,8/29/2006,5,125
17449,726,4/10/2006,9,266
17450,1260,8/3/2006,11,151
17451,788,8/2/2006,9,152
17452,762,8/10/2005,9,509
17453,701,9/28/2005,7,460
17454,863,1/31/2006,10,335
17455,607,6/3/2006,7,212
17456,1377,8/23/2006,11,131
17457,1220,7/26/2006,12,159
17458,1160,8/30/2005,10,489
17459,783,8/15/2006,9,139
17460,760,8/22/2005,8,497
17461,466,11/29/2005,8,398
17462,403,1/6/2006,8,360
17463,1424,3/2/2006,12,305
17464,1285,5/30/2006,13,216
17465,905,9/19/2006,8,104
17466,1241,8/5/2006,11,149
17467,1078,10/13/2006,7,80
17468,786,12/16/2006,8,16
17469,878,12/13/2006,7,19
17470,840,7/21/2006,8,164
17471,410,11/19/2006,6,43
17472,1138,5/26/2006,12,220
17473,863,10/14/2006,10,79
17474,1256,11/29/2005,11,398
17475,548,11/18/2005,6,409
17476,904,8/9/2006,10,145
17477,1221,11/2/2006,11,60
17478,945,11/23/2006,9,39
17479,692,1/14/2006,9,352
17480,1238,6/21/2006,14,194
17481,626,5/22/2006,7,224
17482,629,9/18/2005,4,470
17483,745,12/25/2006,8,7
17484,1084,9/12/2006,12,111
17485,637,12/24/2006,8,8
17486,1344,10/12/2006,16,81
17487,1040,4/21/2006,9,255
17488,1680,9/6/2006,15,117
17489,1573,7/18/2006,15,167
17490,1028,5/21/2006,12,225
17491,924,7/20/2006,10,165
17492,472,10/15/2005,7,443
17493,758,7/22/2005,7,528
17494,1325,12/13/2006,12,19
17495,2007,9/17/2006,17,106
17496,2271,12/10/2006,18,22
17497,300,7/24/2006,7,161
17498,628,5/28/2006,9,218
17499,526,4/12/2006,8,264
17500,467,8/19/2006,6,135
17501,774,10/10/2006,9,83
17502,1056,9/1/2006,9,122
17503,977,6/25/2006,9,190
17504,937,7/9/2006,12,176
17505,825,5/1/2006,10,245
17506,347,9/26/2005,5,462
17507,873,12/21/2005,8,376
17508,590,9/11/2005,4,477
17509,1450,5/18/2006,12,228
17510,1166,9/21/2006,10,102
17511,1082,7/31/2006,10,154
17512,725,9/25/2006,8,98
17513,947,4/4/2006,10,272
17514,1036,11/4/2006,13,58
17515,389,2/5/2006,5,330
17516,1397,11/10/2006,10,52
17517,771,8/31/2006,7,123
17518,1299,10/30/2006,16,63
17519,847,9/2/2006,10,121
17520,807,6/18/2006,9,197
17521,944,10/17/2005,8,441
17522,852,2/21/2006,9,314
17523,1574,11/17/2006,13,45
17524,926,10/2/2006,9,91
17525,514,10/5/2006,8,88
17526,752,9/1/2005,10,487
17527,413,6/20/2006,5,195
17528,748,8/11/2006,8,143
17529,535,8/20/2006,7,134
17530,401,11/19/2005,7,408
17531,512,10/6/2005,5,452
